주차장명,주차장구분,소재지도로명주소,소재지지번주소,주차구획수,위도,경도
아름주차장,민영,세종특별자치시 보듬3로 104-7,세종특별자치시 아름동 1287번지,54,36.512321,127.248429
원프라자,민영,세종특별자치시 보듬3로 8-37,세종특별자치시 도담동 678번지,107,36.515574,127.257844
도담프라자,민영,세종특별자치시 보듬3로 8-5,세종특별자치시 도담동 668번지,127,36.512822,127.258317
온누리타워,민영,세종특별자치시 새롬중앙로 63,세종특별자치시 새롬동 산25번지,50,36.48653674,127.2502536
무지개타워,민영,세종특별자치시 새롬중앙로 41,세종특별자치시 새롬동 341-95번지,231,36.48453411,127.2512337
케이티온,민영,세종특별자치시 다정중앙로 46,세종특별자치시 다정동 7-5,63,36.4944719654,127.2493066995
골든타워 주차장,민영,세종특별자치시 노을3로 99,세종특별자치시 한솔동 967번지,39,36.47983174,127.2538476
영마트 주차장,민영,세종특별자치시 노을3로 80,세종특별자치시 한솔동 934번지,52,36.47900269,127.2555276
세종프라자 주차장,민영,세종특별자치시 노을3로 25,세종특별자치시 한솔동 941번지,46,36.48085088,127.2593277
어진프라자 주차장,민영,세종특별자치시 도움8로 11-11,세종특별자치시 어진동 551번지,221,36.50749212,127.2628726
행정중심복합도시 2생활권 환승주차장1,공영,세종특별자치시 한누리대로 193,세종특별자치시 나성동 716번지,270,36.48208111,127.2605013
행정중심복합도시 2생활권 환승주차장2,공영,세종특별자치시 한누리대로 194,세종특별자치시 나성동 504번지,270,36.48238201,127.2613638
세종시 아름동 공영주차장,공영,세종특별자치시 보듬3로 105,세종특별자치시 아름동 1352번지,236,36.511399,127.247864
세종시 종촌동 공영주차장,공영,세종특별자치시 달빛로 53,세종특별자치시 종촌동 664번지,160,36.503746,127.249706
하모니타워Ⅰ 주차장,민영,세종특별자치시 고운서길 15,세종특별자치시 고운동 1723번지,38,36.5056303,127.234348
하모니타워Ⅱ 주차장,민영,세종특별자치시 마음로 272-28,세종특별자치시 고운동 1380번지,43,36.519271,127.235505
조치원주차타워,공영,세종특별자치시 조치원읍 새내로 99,세종특별자치시 조치원읍 원리 12-11,200,36.60063524,127.297778
전통시장주차장,공영,세종특별자치시 조치원읍 조치원6길 38,세종특별자치시 조치원읍 정리 33-3,71,36.59976211,127.2995816
이벤트광장,공영,세종특별자치시 조치원읍 장안길 14,세종특별자치시 조치원읍 정리 39-1,25,36.59986255,127.3000256
아름동공영주차장,공영,세종특별자치시 보듬3로 105,세종특별자치시 아름동 1352,236,36.51139731,127.2478657
종촌동공영주차장,공영,세종특별자치시 달빛로 53,세종특별자치시 종촌동 664,160,36.50374844,127.2497076
침산리16,공영,세종특별자치시 조치원읍 행복5길7,"세종특별자치시 조치원읍 행복5길7(우측)(침산리 251-9,10)",23,36.60482476,127.2905834
침산리17,공영,세종특별자치시 조치원읍 행복6길 16,"세종특별자치시 조치원읍 행복6길 16(남측)(침산리 252-10,11)",21,36.6050543,127.2912966
침산리18,공영,세종특별자치시 조치원읍 행복13길 5,"세종특별자치시 조치원읍 행복13길 5(남측)(침산리 259-6,11)",19,36.60417652,127.2937302
서창리1,공영,세종특별자치시 조치원읍 돌마루5길 27,세종특별자치시 조치원읍 돌마루5길 27(서창리 289-2번지),12,36.60800373,127.2932371
부강면1,공영,세종특별자치시 부강면 부강5길 19,세종특별자치시 부강면 부강5길 19(부근)(부강리 464-21번지),7,36.52885835,127.3687403
부강면2,공영,세종특별자치시 부강면 부강5길 18,세종특별자치시 부강면 부강5길 18(부강리 475-1번지),16,36.5285001981,127.3688884
부강면3,공영,세종특별자치시 부강면 태산길 17,세종특별자치시 부강면 태산길 17(맞은편)(부강리 475-3번지),19,36.52813959,127.3691593
부강면4,공영,세종특별자치시 부강면 시장길 20,세종특별자치시 부강면 시장길 20(부강리 478-5번지),9,36.52848904,127.3687768
부강면5,공영,세종특별자치시 부강면 부강리 434-30,세종특별자치시 부강면 부강리 434-30,21,36.5284005337,127.3672701
연동면1,공영,세종특별자치시 연동면 내송길 6,세종특별자치시 연동면 내송길 6(부근)(내판리 20-1번지),10,36.55783181,127.3257093
전의면1,공영,세종특별자치시 전의면 운주산로 1183,세종특별자치시 전의면 운주산로 1183(부근)(읍내리 352-4번지),65,36.67905247,127.2055544
금남면1,공영,세종특별자치시 금남면 용포느티나무길 22,세종특별자치시 금남면 용포느티나무길 22(부근)(용포리 146-1번지),41,36.46539172,127.2820568
아름동,공영,세종특별자치시 아름동 1352(주1-15),세종특별자치시 아름동 1352(주1-15),236,36.51139615,127.2478612
종촌동,공영,세종특별자치시 종촌동 664(주1-18),세종특별자치시 종촌동 664(주1-18),160,36.50374741,127.249706252
침산리12,공영,세종특별자치시 조치원읍 행복1길 11,세종특별자치시 조치원읍 행복1길 11(부근)(침산리 272-11번지),10,36.60216026,127.2910995
침산리13,공영,세종특별자치시 조치원읍 문화2길 10,세종특별자치시 조치원읍 문화2길 10(부근)(침산리 284-7번지),11,36.59956264,127.2892231
침산리14,공영,세종특별자치시 조치원읍 행복6길 18,세종특별자치시 조치원읍 행복6길 18(우측부근)(침산리 252-3번지),10,36.60507338,127.2914753
침산리15,공영,세종특별자치시 조치원읍 행복6길36,세종특별자치시 조치원읍 행복6길36(우측부근)(침산리 255-2번지),5,36.60578741,127.2933467
죽림리4,공영,세종특별자치시 조치원읍 죽림로 37,"세종특별자치시 조치원읍 죽림로 37(북측부근)(죽림리 97-3, 158-4번지)",22,36.59212964,127.2956391
남리1,공영,세종특별자치시 조치원읍 조치원4길 144-15,세종특별자치시 조치원읍 조치원4길 144-15(맞은편)(남리 433번지),45,36.59458656,127.2996626
원리1,공영,세종특별자치시 조치원읍 으뜸길 122,세종특별자치시 조치원읍 으뜸길 122(맞은편)(원리 154-9번지),36,36.59698124,127.2976963
원리2,공영,세종특별자치시 조치원읍 새내로 99,세종특별자치시 조치원읍 새내로 99(원리 12-11번지),200,36.6006355131,127.2977195
원리3,공영,세종특별자치시 조치원읍 으뜸길 215,세종특별자치시 조치원읍 으뜸길 215(원리 141-54번지),72,36.6010897554,127.2963295
상리1,공영,세종특별자치시 조치원읍 조치원로 54,세종특별자치시 조치원읍 조치원로 54(상리 96번지),131,36.60186764,127.302626
정리1,공영,세종특별자치시 조치원읍 조치원6길 38,세종특별자치시 조치원읍 조치원6길 38(정리 33-3번지),71,36.59975903,127.2995824
정리2,공영,세종특별자치시 조치원읍 정리 39-1,세종특별자치시 조치원읍 정리 39-1(일원)주차타워 앞 노외주차장,32,36.59986078,127.3000286
침산리1,공영,세종특별자치시 조치원읍 행복5길 29,세종특별자치시 조치원읍 행복5길 29(부근)(침산리 254-8~9번지),21,36.60508226,127.292973
침산리2,공영,세종특별자치시 조치원읍 행복 5길 29,세종특별자치시 조치원읍 행복 5길 29(맞은편)(침산리 253-5번지),10,36.60508975,127.2929741729
침산리3,공영,세종특별자치시 조치원읍 행복11길 12,세종특별자치시 조치원읍 행복11길 12(맞은편)(침산리 264-6번지),22,36.60441428,127.2927891
침산리4,공영,세종특별자치시 조치원읍 행복12길 5-6,세종특별자치시 조치원읍 행복12길 5-6(맞은편)(침산리 261-5번지),15,36.60410086,127.2931273
침산리5,공영,세종특별자치시 조치원읍 행복1길 13,세종특별자치시 조치원읍 행복1길 13(부근)(침산리 272-9번지),6,36.60218007,127.2913940228
침산리6,공영,세종특별자치시 조치원읍 문화7길 13,세종특별자치시 조치원읍 문화7길 13(부근)(침산리 277-13번지),10,36.60164753,127.2882316
침산리7,공영,세종특별자치시 조치원읍 행복 5길 8-1,세종특별자치시 조치원읍 행복 5길 8-1(부근)(침산리 266-11번지),16,36.6046546,127.2907638
침산리8,공영,세종특별자치시 조치원읍 행복 5길 31-3,세종특별자치시 조치원읍 행복 5길 31-3(부근)(침산리 254-3번지),12,36.60534439,127.2931048
침산리9,공영,세종특별자치시 조치원읍 행복 5길 18,세종특별자치시 조치원읍 행복 5길 18(부근)(침산리 251-13번지),12,36.60475023,127.2916906
침산리10,공영,세종특별자치시 조치원읍 행복12길 1,세종특별자치시 조치원읍 침산리 261-9,8,36.6036974221,127.2927498636
침산리11,공영,세종특별자치시 조치원읍 행복7길 3,세종특별자치시 조치원읍 침산리 270-2,17,36.6029647052,127.2902077721
나성동1,공영,세종특별자치시 노을1로 16,세종특별자치시 노을1로 16(부근)(나성동 724번지),44,36.4808552773,127.2606177325
도담동1,공영,세종특별자치시 보듬3로 8-20,"세종특별자치시 보듬3로 8-20(부근)(도담동 258-15, 245-4번지)",13,36.51430212,127.258607
교리1,공영,세종특별자치시 조치원읍 문화로 17,세종특별자치시 조치원읍 문화로 17(부근)(교리 27-1번지),34,36.60331575,127.3005944472
교리2,공영,세종특별자치시 조치원읍 새내로 165,세종특별자치시 조치원읍 새내로 165(부근)(교리 140-1번지),21,36.6066714,127.2965355
교리3,공영,세종특별자치시 조치원읍 새내로 154-1,세종특별자치시 조치원읍 새내로 154-1(동측)(교리 1-14),49,36.60572203,127.2975389
번암리1,공영,세종특별자치시 조치원읍 번암안동네길 20,세종특별자치시 조치원읍 번암안동네길 20(부근)(번암리 209-14번지),13,36.58334226,127.2909696
신흥리1,공영,세종특별자치시 조치원읍 군청로 87-16,세종특별자치시 조치원읍 군청로 87-16(신흥리 123번지),78,36.5924685,127.2919815
신흥리2,공영,세종특별자치시 조치원읍 신흥샛터길 37,세종특별자치시 조치원읍 신흥샛터길 37(신흥리 8-10번지),28,36.5971798,127.294688
죽림리1,공영,세종특별자치시 조치원읍 도장말길 52,세종특별자치시 조치원읍 도장말길 52(부근)(죽림리 160-7번지),15,36.5916212518,127.2974781872
죽림리2,공영,세종특별자치시 조치원읍 새동네뒷골길 7-1,세종특별자치시 조치원읍 새동네뒷골길 7-1(맞은편)(죽림리 359-4번지),9,36.58981147,127.2922404
죽림리3,공영,세종특별자치시 조치원읍 죽림본로 9,세종특별자치시 조치원읍 죽림본로 9(부근)(죽림리 212-2번지),29,36.59135761,127.2976801
